 --------------------------------------------------------------------

     minimum       average       maximum  standard dev        std/av       %   rmn   rmx  TIMER
       0.670         0.670         0.671         0.001         0.001     3.6     2   4    coarse levels           
       0.371         0.371         0.372         0.000         0.001     2.0     4   1    refine                  
       0.299         0.299         0.299         0.000         0.000     1.6     3   4    load balance            
       1.364         1.373         1.379         0.006         0.004     7.4     1   3    particles               
       0.531         0.532         0.534         0.001         0.002     2.9     3   1    io                      
       0.130         0.136         0.142         0.005         0.034     0.7     1   2    hydro - set unew        
       0.128         0.137         0.155         0.011         0.081     0.7     3   1    courant                 
      13.895        13.930        13.980         0.036         0.003    74.7     2   4    hydro - godunov         
       0.618         0.666         0.704         0.034         0.051     3.6     4   2    hydro - rev ghostzones  
       0.105         0.108         0.111         0.002         0.020     0.6     3   1    hydro - set uold        
       0.026         0.027         0.028         0.001         0.034     0.1     4   3    cooling                 
       0.198         0.199         0.201         0.001         0.006     1.1     3   4    hydro - ghostzones      
       0.186         0.186         0.187         0.000         0.002     1.0     2   1    flag                    
      18.650     100.0    TOTAL
